Species_Abb,FIN_name,SWE_name,ENG_name,Sci_name,Species_code,1
PARMAJ,talitiainen,talgoxe,Great Tit,Parus major,754,10020
TETRIX,teeri,orre,Black Grouse,Tetrao tetrix,143,580
LARCAN,kalalokki,fiskmås,Mew Gull,Larus canus,438,9619
LARARG,harmaalokki,gråtrut,European Herring Gull,Larus argentatus,449,9906
LARMAR,merilokki,havstrut,Great Black-backed Gull,Larus marinus,463,9913
CORNIX,varis,kråka,Hooded Crow,Corvus corone,797,9700
CORRAX,korppi,korp,Northern Raven,Corvus corax,800,8255
PL,pikkulintu,ob. småfågel,Unidentified Songbird,PL (pikkulintu),879,2372
ALAARV,kiuru,sånglärka,Eurasian Skylark,Alauda arvensis,553,3352
TURMER,mustarastas,koltrast,Common Blackbird,Turdus merula,654,7458
CORMON,naakka,kaja,Western Jackdaw,Corvus monedula,794,2889
CORFRU,mustavaris,råka,Rook,Corvus frugilegus,796,1043
CARCHL,viherpeippo,grönfink,European Greenfinch,Carduelis chloris,820,9147
CARMEA,urpiainen,gråsiska,Common Redpoll,Carduelis flammea,825,4578
EMBSCH,pajusirkku,sävsparv,Common Reed Bunting,Emberiza schoeniclus,863,3403
ACCNIS,varpushaukka,sparvhök,Eurasian Sparrowhawk,Accipiter nisus,237,5064
PICPIC,harakka,skata,Common Magpie,Pica pica,790,1250
ICOR,korppi / varis / mustavaris,korp / kråka / råka,Unidentified Large Crow,magnus Corvus,802,269
CARSPI,vihervarpunen,grönsiska,Eurasian Siskin,Carduelis spinus,822,7626
LOXCUR/LOXPYT,pikkukäpylintu / isokäpylintu,mindre korsnäbb / större korsnäbb,Common / Parrot Crossbill,Loxia curvirostra / Loxia pytyopsittacus,835,3197
MERMER,isokoskelo,storskrake,Common Merganser,Mergus merganser,122,9911
FALTIN,tuulihaukka,tornfalk,Common Kestrel,Falco tinnunculus,261,2455
COLOEN,uuttukyyhky,skogsduva,Stock Dove,Columba oenas,471,2566
COLPAL,sepelkyyhky,ringduva,Common Wood Pigeon,Columba palumbus,472,4428
COLSP,kyyhkylaji (Columba),Columba (släktet),Unidentified Columba Dove,Columba sp,473,644
DENMIN,pikkutikka,mindre hackspett,Lesser Spotted Woodpecker,Dendrocopos minor,535,1971
TURPIL,räkättirastas,björktrast,Fieldfare,Turdus pilaris,662,7468
BUTSP,hiirihaukkalaji,Buteo (släktet),Unidentified Buteo buzzard,Buteo sp,244,335
VANVAN,töyhtöhyyppä,tofsvipa,Northern Lapwing,Vanellus vanellus,312,2161
TURPHI,laulurastas,taltrast,Song Thrush,Turdus philomelos,663,4382
TURVIS,kulorastas,dubbeltrast,Mistle Thrush,Turdus viscivorus,665,2314
TURSP,rastaslaji (Turdus),Turdus (släktet),Unidentified Thrush,Turdus sp,666,124
PLENIV,pulmunen,snösparv,Snow Bunting,Plectrophenax nivalis,850,873
CYGOLO,kyhmyjoutsen,knölsvan,Mute Swan,Cygnus olor,2,8920
ANSANS,merihanhi,grågås,Greylag Goose,Anser anser,22,4175
BUTBUT,hiirihaukka,ormvråk,Common Buzzard,Buteo buteo,239,1796
PRUMOD,rautiainen,järnsparv,Dunnock,Prunella modularis,603,3689
REGREG,hippiäinen,kungsfågel,Goldcrest,Regulus regulus,736,5153
CYACAE,sinitiainen,blåmes,Eurasian Blue Tit,Cyanistes caeruleus,753,9418
STUVUL,kottarainen,stare,Common Starling,Sturnus vulgaris,803,6066
PASDOM,varpunen,gråsparv,House Sparrow,Passer domesticus,809,902
CARCAN,hemppo,hämpling,Common Linnet,Carduelis cannabina,823,4146
PYRPYR,punatulkku,domherre,Eurasian Bullfinch,Pyrrhula pyrrhula,843,3008
EMBCIT,keltasirkku,gulsparv,Yellowhammer,Emberiza citrinella,854,4399
ANAPLA,sinisorsa,gräsand,Mallard,Anas platyrhynchos,71,9544
CLAHYE,alli,alfågel,Long-tailed Duck,Clangula hyemalis,105,5474
BUCCLA,telkkä,knipa,Common Goldeneye,Bucephala clangula,117,9175
GRUGRU,kurki,trana,Common Crane,Grus grus,294,1975
LARRID,naurulokki,skrattmås,Black-headed Gull,Larus ridibundus,432,8207
LULARB,kangaskiuru,trädlärka,Woodlark,Lullula arborea,552,1690
ANTPRA,niittykirvinen,ängspiplärka,Meadow Pipit,Anthus pratensis,576,6482
MOTALB,västäräkki,sädesärla,White Wagtail,Motacilla alba,593,6598
ITUR,iso rastas,stor trast,Unidentified Large Thrush,magnus Turdus,667,633
CERFAM,puukiipijä,trädkrypare,Eurasian Treecreeper,Certhia familiaris,768,4391
FRICOE,peippo,bofink,Common Chaffinch,Fringilla coelebs,814,7913
ANS/BRA,hanhilaji,ob. gås,Unidentified Goose,Anser / Branta,47,1068
V,vesilintu,sjöfågel,Waterfowl,Anatidae sp,130,1541
ILAR,selkälokki / harmaalokki / isolokki / merilokki,ob. trut,Unidentified Large Gull,magnus Larus,467,1311
ANSSP,harmaahanhilaji,Anser (släktet),Unidentified Anser goose,Anser sp,33,702
SOMMOL,haahka,ejder,Common Eider,Somateria mollissima,98,8596
ERIRUB,punarinta,rödhake,European Robin,Erithacus rubecula,610,5659
FRIMON,järripeippo,bergfink,Brambling,Fringilla montifringilla,815,3593
CARCAR,tikli,steglits,European Goldfinch,Carduelis carduelis,821,2452
CYGCYG,laulujoutsen,sångsvan,Whooper Swan,Cygnus cygnus,6,3685
CYGSP,joutsenlaji,Cygnus (släktet),Unidentified Swan,Cygnus sp,8,596
AYTFER,punasotka,brunand,Common Pochard,Aythya ferina,86,507
KK,keskikokoinen kahlaaja,medelstor vadare,Unidentified Middle size wader,KK (Keskikokoinen kahlaaja),392,441
LARFUS,selkälokki,silltrut,Lesser Black-backed Gull,Larus fuscus,441,3806
ASIFLA,suopöllö,jorduggla,Short-eared Owl,Asio flammeus,504,499
ANACRE,tavi,kricka,Eurasian Teal,Anas crecca,66,4351
MERSER,tukkakoskelo,småskrake,Red-breasted Merganser,Mergus serrator,121,6586
MERSER/MERMER,tukkakoskelo / isokoskelo,småskrake / storskrake,Red-breasted Merganser / Goosander,Mergus serrator / Mergus merganser,123,655
IP,iso päiväpetolintu,stor dagrovfågel,Unidentified Large Raptor,magnus Accipitriformes,276,545
FULATR,nokikana,sothöna,Eurasian Coot,Fulica atra,291,163
HAEOST,meriharakka,strandskata,Eurasian Oystercatcher,Haematopus ostralegus,303,4811
PLUAPR,kapustarinta,ljungpipare,European Golden Plover,Pluvialis apricaria,307,1398
CHAHIA,tylli,större strandpipare,Common Ringed Plover,Charadrius hiaticula,314,5214
NUMSP,kuovilaji,Numenius (släktet),Unidentified Numenius,Numenius sp,328,358
ASIOTU,sarvipöllö,hornuggla,Long-eared Owl,Asio otus,503,686
ANTPET,luotokirvinen,skärpiplärka,Eurasian Rock Pipit,Anthus petrosus,578,686
BOMGAR,tilhi,sidensvans,Bohemian Waxwing,Bombycilla garrulus,600,2335
TURILI,punakylkirastas,rödvingetrast,Redwing,Turdus iliacus,664,4257
PTUR,pieni rastas,liten trast,Unidentified Small Thrush,parvus Turdus,668,574
IV,iso vesilintu,stor sjöfågel,Unidentified Large waterfowl,magnus Anatidae,128,230
PHACAR,merimetso,storskarv,Great Cormorant,Phalacrocorax carbo,176,6525
BUTLAG,piekana,fjällvråk,Rough-legged Buzzard,Buteo lagopus,243,1033
PER/BUT,mehiläishaukka / hiirihaukkalaji,ob. vråk,Unidentified buzzard,Pernis / Buteo,245,733
TRIOCH,metsäviklo,skogssnäppa,Green Sandpiper,Tringa ochropus,367,1503
SCORUS,lehtokurppa,morkulla,Eurasian Woodcock,Scolopax rusticola,379,1950
LARSP,lokkilaji,Larus (släktet),Unidentified Gull,Larus sp,465,390
PICCAN,harmaapäätikka,gråspett,Grey-headed Woodpecker,Picus canus,526,217
TADTAD,ristisorsa,gravand,Common Shelduck,Tadorna tadorna,51,2238
ANAPEN,haapana,bläsand,Eurasian Wigeon,Anas penelope,55,5061
ANAACU,jouhisorsa,stjärtand,Northern Pintail,Anas acuta,75,2444
ANASP,sorsalaji,Anas (släktet),Anas duck species,Anas sp,83,365
AYTFUL,tukkasotka,vigg,Tufted Duck,Aythya fuligula,91,6894
PANHAL,sääksi,fiskgjuse,Osprey,Pandion haliaetus,259,1254
NUMARQ,kuovi,storspov,Eurasian Curlew,Numenius arquata,327,2315
TRITOT,punajalkaviklo,rödbena,Common Redshank,Tringa totanus,374,3332
HYDCAS,räyskä,skräntärna,Caspian Tern,Hydroprogne caspia,413,2040
LARHYP,isolokki,vittrut,Glaucous Gull,Larus hyperboreus,461,42
OENOEN,kivitasku,stenskvätta,Northern Wheatear,Oenanthe oenanthe,639,3338
LANEXC,isolepinkäinen,varfågel,Great Grey Shrike,Lanius excubitor,778,791
HALALB,merikotka,havsörn,White-tailed Eagle,Haliaeetus albicilla,218,5416
CIRCYA,sinisuohaukka,blå kärrhök,Northern Harrier,Circus cyaneus,226,1467
GALGAL,taivaanvuohi,enkelbeckasin,Common Snipe,Gallinago gallinago,380,2352
ANSFAB,metsähanhi,sädgås,Bean Goose,Anser fabalis,9,536
MERALB,uivelo,salskrake,Smew,Mergellus albellus,119,983
ACCGEN,kanahaukka,duvhök,Northern Goshawk,Accipiter gentilis,234,2057
FALCOL,ampuhaukka,stenfalk,Merlin,Falco columbarius,264,1537
PP,pieni päiväpetolintu,liten dagrovfågel,Unidentified Small Raptor,parvus Accipitriformes,277,176
TROTRO,peukaloinen,gärdsmyg,Winter Wren,Troglodytes troglodytes,602,3016
PODCRI,silkkiuikku,skäggdopping,Great Crested Grebe,Podiceps cristatus,158,3121
BOM/STU,tilhi / kottarainen,sidensvans / stare,Waxwing / Starling,Bombycilla / Sturnus,806,115
AYTFUL/AYTMAR,tukkasotka / lapasotka,vigg / bergand,Tufted Duck/Greater Scaup,Aythya fuligula / Aythya marila,94,422
IK,iso kahlaaja,stor vadare,Unidentified large wader,IK (iso kahlaaja),391,915
AEGFUN,helmipöllö,pärluggla,Boreal Owl,Aegolius funereus,506,603
FRISP,peippolaji,Fringilla (släktet),Chaffinch / Brambling,Fringilla sp,816,128
PV,pieni vesilintu,liten sjöfågel,Unidentified Small waterfowl,parvus Anatidae,129,344
GAVARC,kuikka,storlom,Black-throated Loon,Gavia arctica,151,3406
GAVSP,kuikkalaji,Gavia (släktet),Diver species,Gavia sp,156,4128
K,kahlaaja,ob. vadare,Unidentified wader,K (kahlaaja),396,313
STECUS,merikihu,kustlabb,Parasitic Jaeger,Stercorarius parasiticus,399,2632
CALLAP,lapinsirkku,lappsparv,Lapland Longspur,Calcarius lapponicus,849,614
MELNIG,mustalintu,sjöorre,Common Scoter,Melanitta nigra,106,2378
CYA/PAR/PER/LOP/POE,tiaislaji,ob. mes / tita,Unidentified Tit species,Cyanistes / Parus / Periparus / Lophophanes / Poecile,763,317
CALALP,suosirri,kärrsnäppa,Dunlin,Calidris alpina,346,2729
STEHIR/STEAEA,kalatiira / lapintiira,fisktärna / silvertärna,Common / Arctic Tern,Sterna hirundo / Sterna paradisaea,422,3097
STRALU,lehtopöllö,kattuggla,Tawny Owl,Strix aluco,498,205
PHYCOL,tiltaltti,gransångare,Common Chiffchaff,Phylloscopus collybita,727,1915
ANACLY,lapasorsa,skedand,Northern Shoveler,Anas clypeata,80,3015
CIRAER,ruskosuohaukka,brun kärrhök,Western Marsh Harrier,Circus aeruginosus,225,927
TRINEB,valkoviklo,gluttsnäppa,Common Greenshank,Tringa nebularia,369,3285
ANTTRI,metsäkirvinen,trädpiplärka,Tree Pipit,Anthus trivialis,573,4473
BRALEU,valkoposkihanhi,vitkindad gås,Barnacle Goose,Branta leucopsis,39,2083
ANASTR,harmaasorsa,snatterand,Gadwall,Anas strepera,63,686
GAVSTE,kaakkuri,smålom,Red-throated Loon,Gavia stellata,150,2956
CHADUB,pikkutylli,mindre strandpipare,Little Ringed Plover,Charadrius dubius,313,1018
STEHIR,kalatiira,fisktärna,Common Tern,Sterna hirundo,420,3534
JYNTOR,käenpiika,göktyta,Eurasian Wryneck,Jynx torquilla,525,1083
FICHYP,kirjosieppo,svartvit flugsnappare,European Pied Flycatcher,Ficedula hypoleuca,744,2282
SOMSPE,kyhmyhaahka,praktejder,King Eider,Somateria spectabilis,101,98
MELFUS,pilkkasiipi,svärta,Velvet Scoter,Melanitta fusca,110,4525
AYTMAR,lapasotka,bergand,Greater Scaup,Aythya marila,93,1308
PODGRI,härkälintu,gråhakedopping,Red-necked Grebe,Podiceps grisegena,159,770
CEPGRY,riskilä,tobisgrissla,Black Guillemot,Cepphus grylle,405,1245
ANTSP,kirvislaji,Anthus (släktet),Unidentified Pipit,Anthus sp,580,141
PHYSP,uunilintulaji,Phylloscopus (släktet),Unidentified Phylloscopus warbler,Phylloscopus sp,735,563
ANAQUE,heinätavi,årta,Garganey,Anas querquedula,76,258
POLSTE,allihaahka,alförrädare,Steller's Eider,Polysticta stelleri,103,154
AREINT,karikukko,roskarl,Ruddy Turnstone,Arenaria interpres,334,916
ALCTOR,ruokki,tordmule,Razorbill,Alca torda,406,779
HYDMIN,pikkulokki,dvärgmås,Little Gull,Hydrocoloeus minutus,425,778
ASISP,sarvipöllölaji,Asio (släktet),Long-/Short-eared Owl,Asio sp,505,212
PODAUR,mustakurkku-uikku,svarthakedopping,Horned Grebe,Podiceps auritus,161,212
STERCSP,kihulaji,Stercorarius (släktet),Unidentified Skua,Stercorarius sp,403,415
STEAEA,lapintiira,silvertärna,Arctic Tern,Sterna paradisaea,421,2845
RECAVO,avosetti,skärfläcka,Pied Avocet,Recurvirostra avosetta,302,37
TRIERY,mustaviklo,svartsnäppa,Spotted Redshank,Tringa erythropus,368,1512
ACTHYP,rantasipi,drillsnäppa,Common Sandpiper,Actitis hypoleucos,364,3574
SAXTRA,pensastasku,buskskvätta,Whinchat,Saxicola rubetra,628,1448
PERPER,peltopyy,rapphöna,Grey Partridge,Perdix perdix,147,6
NUMPHA,pikkukuovi,småspov,Whimbrel,Numenius phaeopus,326,1029
TRIGLA,liro,grönbena,Wood Sandpiper,Tringa glareola,373,2289
ACRSCH,ruokokerttunen,sävsångare,Sedge Warbler,Acrocephalus schoenobaenus,687,885
SERSER,keltahemppo,gulhämpling,European Serin,Serinus serinus,817,70
EMBHOR,peltosirkku,ortolansparv,Ortolan Bunting,Emberiza hortulana,855,520
PERAPI,mehiläishaukka,bivråk,European Honey Buzzard,Pernis apivorus,211,1009
RIP/HIR/DEL,pääsky,ob. svala,Unidentified Swallow / Martin,Riparia / Hirundo / Delichon,566,1128
ARDCIN,harmaahaikara,gråhäger,Grey Heron,Ardea cinerea,196,4028
CALPUG,suokukko,brushane,Ruff,Calidris pugnax,336,2142
COLLIV,kesykyyhky,tamduva,Common Pigeon,Columba livia,470,1376
RIPRIP,törmäpääsky,backsvala,Sand Martin,Riparia riparia,556,1571
HIRRUS,haarapääsky,ladusvala,Barn Swallow,Hirundo rustica,558,5270
DELURB,räystäspääsky,hussvala,Common House Martin,Delichon urbicum,561,3898
PHYLUS,pajulintu,lövsångare,Willow Warbler,Phylloscopus trochilus,733,4880
AEGCAU,pyrstötiainen,stjärtmes,Long-tailed Tit,Aegithalos caudatus,748,1167
EMBRUS/EMBPUS/EMBAUR,pohjansirkku / pikkusirkku / kultasirkku,videsparv / dvärgsparv / gyllensparv,Rustic / Little / Yellow-breasted Bunting,Emberiza rustica / Emberiza pusilla / Emberiza aureola,862,119
FALSUB,nuolihaukka,lärkfalk,Eurasian Hobby,Falco subbuteo,265,2049
COCCOC,nokkavarpunen,stenknäck,Hawfinch,Coccothraustes coccothraustes,844,859
LIMLAP,punakuiri,myrspov,Bar-tailed Godwit,Limosa lapponica,331,991
PHOPHO,leppälintu,rödstjärt,Common Redstart,Phoenicurus phoenicurus,622,1635
SYLCUR,hernekerttu,ärtsångare,Lesser Whitethroat,Sylvia curruca,704,4078
LANCOL,pikkulepinkäinen,törnskata,Red-backed Shrike,Lanius collurio,776,2187
STRDEC,turkinkyyhky,turkduva,Eurasian Collared Dove,Streptopelia decaocto,475,121
STRTUR,turturikyyhky,turturduva,European Turtle Dove,Streptopelia turtur,477,108
MOTFLA,keltavästäräkki,gulärla,Yellow Wagtail,Motacilla flava,581,2599
SYLATR,mustapääkerttu,svarthätta,Eurasian Blackcap,Sylvia atricapilla,707,2422
CAPEUR,kehrääjä,nattskärra,European Nightjar,Caprimulgus europaeus,511,135
LUSLUS,satakieli,näktergal,Thrush Nightingale,Luscinia luscinia,611,2421
PK,pieni kahlaaja,liten vadare,Unidentified small wader,PK (pieni kahlaaja),393,1296
STREPSP,turturikyyhkylaji,Streptopelia (släktet),Unidentified Streptopelia dove,Streptopelia sp,482,25
PHYSIB,sirittäjä,grönsångare,Wood Warbler,Phylloscopus sibilatrix,726,1077
V/K,vesilintu / kahlaaja,sjöfågel / vadare,Unidentified waterfowl / wader,V / K (vesilintu / kahlaaja),397,42
CUCCAN,käki,gök,Common Cuckoo,Cuculus canorus,486,1034
LOXCUR,pikkukäpylintu,mindre korsnäbb,Red Crossbill,Loxia curvirostra,832,1867
CALCAN,isosirri,kustsnäppa,Red Knot,Calidris canutus,335,903
CALTEM,lapinsirri,mosnäppa,Temminck's Stint,Calidris temminckii,344,460
LUSSVE,sinirinta,blåhake,Bluethroat,Luscinia svecica,614,421
TURTOR,sepelrastas,ringtrast,Ring Ouzel,Turdus torquatus,653,51
SYLNIS,kirjokerttu,höksångare,Barred Warbler,Sylvia nisoria,703,460
SYLCOM,pensaskerttu,törnsångare,Common Whitethroat,Sylvia communis,705,3287
MUSSTR,harmaasieppo,grå flugsnappare,Spotted Flycatcher,Muscicapa striata,738,3608
CARERY,punavarpunen,rosenfink,Common Rosefinch,Carpodacus erythrinus,839,2309
MELSP,mustalintulaji,Melanitta (släktet),Unidentified Scoter,Melanitta sp,115,23
APUAPU,tervapääsky,tornseglare,Common Swift,Apus apus,514,3193
BRABER,sepelhanhi,prutgås,Brant Goose,Branta bernicla,41,882
PLUSQU,tundrakurmitsa,kustpipare,Grey Plover,Pluvialis squatarola,308,1769
ANTCER,lapinkirvinen,rödstrupig piplärka,Red-throated Pipit,Anthus cervinus,577,637
SYLBOR,lehtokerttu,trädgårdssångare,Garden Warbler,Sylvia borin,706,2746
